Class label,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,